,Unnamed: 0,정류소명,정류소번호,권역,행정동명,엑스좌표,경도,와이좌표,위도,노선번호,totalPsocAvg,정상노선번호,평일배차간격(분),토요일배차간격(분),공휴일배차간격(분),일평균승차건수,평균배차간격,대기시간,버스정류소 이용량,scaled 버스정류소 이용량,버스정류소 번호 별 총 이용량,scaled 버스정류소 번호 별 총 이용량,ped_count_within_500m
1698,1698,동원아파트,25166,기타,정왕동,176596.0431,126.7365853,429489.3243,37.36716995,790,162.19230769230768,790,40-65,60-85,60-85,162.19230769230768,52.5,26.25,4257.548076923076,0.1603875076067112,1419.1826923076922,0.0721714766314924,0
1699,1699,동인천,35188,중구,동인천동,167391.9996,126.6321546,441450.0081,37.47465644,521,861.1153846153846,521,9-13,12-17,13-20,861.1153846153846,11.0,5.5,4736.134615384615,0.1784165000434669,3512.0929487179487,0.1786048657089115,285106
1700,1700,동인천(우리은행앞),35517,중구,동인천동,167211.8946,126.630123,441350.8467,37.47375663,중구6,15.26923076923077,중구6,180-210,180-210,180-210,15.26923076923077,195.0,97.5,1488.75,0.0560831956880813,1488.75,0.0757092701436632,294632
1701,1701,동인천동행정복지센터,35805,중구,동인천동,167113.9277,126.6290007,441680.9836,37.47672762,인천e음12,39.34615384615385,인천e음12,25-27,25-27,25-27,39.34615384615385,26.0,13.0,511.5,0.0192688863774667,511.5,0.0260119507496112,207676
1702,1702,동인천동행정복지센터,35795,중구,동인천동,167110.7336,126.628966,441649.5203,37.47644403,인천e음11,31.923076923076923,인천e음11,22-26,22-26,22-26,31.923076923076923,24.0,12.0,383.0769230769231,0.0144310179953055,383.0769230769231,0.0194810910193343,215822
1703,1703,동인천역,35187,중구,동인천동,167274.6393,126.6308284,441437.448,37.47453912,16,240.19230769230768,16,15-19,19-24,20-26,240.19230769230768,17.0,8.5,2041.6346153846152,0.0769110956562056,1938.2238841405504,0.0985669290635078,272243
1704,1704,동인천역,35191,중구,동인천동,167297.8923,126.6310844,441592.7023,37.47593876,인천e음12,40.15384615384615,인천e음12,25-27,25-27,25-27,40.15384615384615,26.0,13.0,522.0,0.0196644353646874,2726.305987993488,0.1386442562816361,252184
1705,1705,동인천역,35185,중구,동인천동,167239.7688,126.6304346,441429.3379,37.47446481,45,1304.3076923076924,45,7-9,9-10,9-10,1304.3076923076924,8.0,4.0,5217.2307692307695,0.1965400330348604,3900.822594784133,0.1983734217370394,273391
1706,1706,동인천역,35192,중구,동인천동,167275.1092,126.6308265,441599.7446,37.4760014,인천e음11,35.57692307692308,인천e음11,22-26,22-26,22-26,35.57692307692308,24.0,12.0,426.92307692307696,0.0160827610188646,1329.7279202279203,0.0676223209606093,248571
1707,1707,동인천역북광장,36137,동구,송현1동2동,167412.1,126.632373,441649.5,37.47645454,인천e음21,83.46153846153847,인천e음21,23-29,23-29,23-29,83.46153846153847,26.0,13.0,1085.0,0.0408733953461415,2545.4542735042733,0.1294471773172642,237096
